UID,NERC,Region,Start,End,Center,Center_DOY,T_Max_Min,Duration,Regions_Impacted
HW_NERC1_Event93,1,CA,2020-08-13,2020-08-21,2020-08-17,230,98.08,9,4.0
HW_NERC1_Event94,1,CA,2020-09-04,2020-09-08,2020-09-06,250,100.38,5,5.0
HW_NERC1_Event95,1,CA,2020-09-30,2020-10-03,2020-10-01,275,92.24,4,1.0
HW_NERC1_Event96,1,CA,2021-06-16,2021-06-19,2021-06-17,168,93.47,4,5.0
HW_NERC1_Event97,1,CA,2021-06-27,2021-06-28,2021-06-27,178,90.98,2,6.0
HW_NERC1_Event98,1,CA,2021-07-08,2021-07-12,2021-07-10,191,94.19,5,4.0
HW_NERC1_Event99,1,CA,2021-08-15,2021-08-16,2021-08-15,227,91.41,2,4.0
HW_NERC1_Event100,1,CA,2021-08-28,2021-08-29,2021-08-28,240,91.49,2,1.0
HW_NERC1_Event101,1,CA,2021-09-06,2021-09-08,2021-09-07,250,90.8,3,2.0
HW_NERC1_Event102,1,CA,2022-07-17,2022-07-17,2022-07-17,198,90.18,1,7.0
HW_NERC1_Event103,1,CA,2022-08-31,2022-09-09,2022-09-04,247,99.06,10,4.0
HW_NERC1_Event104,1,CA,2023-07-02,2023-07-02,2023-07-02,183,90.22,1,3.0
HW_NERC1_Event105,1,CA,2023-07-15,2023-07-17,2023-07-16,197,93.19,3,6.0
HW_NERC1_Event106,1,CA,2023-07-21,2023-07-24,2023-07-22,203,92.06,4,5.0
HW_NERC1_Event107,1,CA,2023-08-15,2023-08-16,2023-08-15,227,91.1,2,4.0
HW_NERC1_Event108,1,CA,2023-08-29,2023-08-29,2023-08-29,241,90.72,1,1.0
HW_NERC1_Event109,1,CA,2024-07-03,2024-07-13,2024-07-08,190,96.47,11,8.0
HW_NERC1_Event110,1,CA,2024-07-19,2024-07-25,2024-07-22,204,92.92,7,3.0
HW_NERC1_Event111,1,CA,2024-08-05,2024-08-06,2024-08-05,218,90.5,2,5.0
HW_NERC1_Event112,1,CA,2024-09-04,2024-09-09,2024-09-06,250,95.21,6,2.0
HW_NERC1_Event113,1,CA,2024-10-01,2024-10-06,2024-10-03,277,93.15,6,1.0
HW_NERC2_Event1,2,ERCOT,1980-06-24,1980-07-04,1980-06-29,181,107.49,11,4.0
HW_NERC2_Event2,2,ERCOT,1980-07-12,1980-07-18,1980-07-15,197,104.25,7,5.0
HW_NERC2_Event3,2,ERCOT,1985-08-08,1985-08-08,1985-08-08,220,101.69,1,2.0
HW_NERC2_Event4,2,ERCOT,1986-07-25,1986-08-01,1986-07-28,209,104.3,8,5.0
HW_NERC2_Event5,2,ERCOT,1986-08-19,1986-08-20,1986-08-19,231,102.3,2,3.0
HW_NERC2_Event6,2,ERCOT,1990-06-25,1990-06-27,1990-06-26,177,103.04,3,5.0
HW_NERC2_Event7,2,ERCOT,1993-07-24,1993-07-25,1993-07-24,205,102.05,2,1.0
HW_NERC2_Event8,2,ERCOT,1994-06-08,1994-06-08,1994-06-08,159,101.88,1,1.0
HW_NERC2_Event9,2,ERCOT,1994-06-25,1994-07-02,1994-06-28,179,107.48,8,5.0
HW_NERC2_Event10,2,ERCOT,1994-07-07,1994-07-07,1994-07-07,188,101.97,1,4.0
HW_NERC2_Event11,2,ERCOT,1994-07-23,1994-07-25,1994-07-24,205,102.39,3,3.0
HW_NERC2_Event12,2,ERCOT,1994-08-18,1994-08-19,1994-08-18,230,101.75,2,2.0
HW_NERC2_Event13,2,ERCOT,1995-07-22,1995-07-29,1995-07-25,206,106.03,8,3.0
HW_NERC2_Event14,2,ERCOT,1996-06-19,1996-06-21,1996-06-20,172,103.76,3,4.0
HW_NERC2_Event15,2,ERCOT,1996-07-05,1996-07-07,1996-07-06,188,103.48,3,3.0
HW_NERC2_Event16,2,ERCOT,1996-07-21,1996-07-22,1996-07-21,203,101.72,2,6.0
HW_NERC2_Event17,2,ERCOT,1996-08-02,1996-08-04,1996-08-03,216,102.69,3,2.0
