NERC_ID,start_date,end_date,duration,centroid_date,lowest_temperature
California,2023-01-30,2023-01-31,2,2023-01-30,274.937354701261
California,2023-02-15,2023-02-16,2,2023-02-15,274.411154361808
California,2023-02-23,2023-03-03,9,2023-02-27,273.516551036846
California,2023-03-06,2023-03-08,3,2023-03-07,274.243667469477
California,2023-03-25,2023-03-26,2,2023-03-25,274.651362037253
California,2024-01-08,2024-01-08,1,2024-01-08,274.946002219554
ERCOT,1980-02-10,1980-02-11,2,1980-02-10,270.429592228002
ERCOT,1980-02-17,1980-02-17,1,1980-02-17,271.281215058326
ERCOT,1980-03-02,1980-03-02,1,1980-03-02,268.358398254135
ERCOT,1980-11-18,1980-11-19,2,1980-11-18,271.16123497726
ERCOT,1980-12-21,1980-12-21,1,1980-12-21,271.435996250783
ERCOT,1981-02-11,1981-02-12,2,1981-02-11,268.879530998751
ERCOT,1982-01-08,1982-01-17,10,1982-01-12,264.979800714117
ERCOT,1982-02-04,1982-02-07,4,1982-02-05,269.25395030823
ERCOT,1983-12-18,1984-01-01,15,1983-12-25,260.317318168166
ERCOT,1984-01-18,1984-01-22,5,1984-01-20,267.817160840448
ERCOT,1985-01-02,1985-01-04,3,1985-01-03,269.714541298765
ERCOT,1985-01-12,1985-01-14,3,1985-01-13,269.199912622406
ERCOT,1985-01-19,1985-01-22,4,1985-01-20,265.69179149867
ERCOT,1985-01-31,1985-02-04,5,1985-02-02,264.027355278271
ERCOT,1985-12-02,1985-12-03,2,1985-12-02,270.935090938974
ERCOT,1985-12-12,1985-12-15,4,1985-12-13,268.306791447015
ERCOT,1986-01-09,1986-01-09,1,1986-01-09,271.027174942837
ERCOT,1986-02-11,1986-02-12,2,1986-02-11,270.256731573568
ERCOT,1987-01-19,1987-01-22,4,1987-01-20,269.57970043873
ERCOT,1987-03-30,1987-03-30,1,1987-03-30,271.410371827418
ERCOT,1987-12-15,1987-12-16,2,1987-12-15,269.383367059752
ERCOT,1987-12-27,1987-12-29,3,1987-12-28,269.83340494149
ERCOT,1988-01-07,1988-01-11,5,1988-01-09,268.261329854789
ERCOT,1988-02-06,1988-02-07,2,1988-02-06,270.61967836888
ERCOT,1988-02-11,1988-02-12,2,1988-02-11,270.612236874596
ERCOT,1989-02-04,1989-02-09,6,1989-02-06,265.215412025931
ERCOT,1989-03-05,1989-03-08,4,1989-03-06,266.997332933993
ERCOT,1989-12-11,1989-12-25,15,1989-12-18,259.052932272733
ERCOT,1990-12-23,1990-12-25,3,1990-12-24,267.794756725627
ERCOT,1991-11-03,1991-11-03,1,1991-11-03,271.536859475008
ERCOT,1992-01-15,1992-01-16,2,1992-01-15,271.162270582983
ERCOT,1993-11-26,1993-11-27,2,1993-11-26,270.172239378457
ERCOT,1993-12-24,1993-12-24,1,1993-12-24,271.463702698027
ERCOT,1994-01-08,1994-01-08,1,1994-01-08,270.830693709487
ERCOT,1994-01-18,1994-01-19,2,1994-01-18,269.722139884845
ERCOT,1994-01-30,1994-02-02,4,1994-01-31,268.997428087642
ERCOT,1994-02-10,1994-02-11,2,1994-02-10,268.543976990405
ERCOT,1995-12-10,1995-12-10,1,1995-12-10,269.472163296598
ERCOT,1996-01-03,1996-01-03,1,1996-01-03,271.531472938302
ERCOT,1996-01-06,1996-01-08,3,1996-01-07,268.155055271641
ERCOT,1996-01-19,1996-01-20,2,1996-01-19,269.347267887905
ERCOT,1996-01-31,1996-02-05,6,1996-02-02,264.150495752735
ERCOT,1996-03-08,1996-03-10,3,1996-03-09,268.17023708873
ERCOT,1996-11-25,1996-11-26,2,1996-11-25,270.274590171756
ERCOT,1996-12-17,1996-12-20,4,1996-12-18,267.10988399556
ERCOT,1997-01-08,1997-01-18,11,1997-01-13,264.529072013883
ERCOT,1997-01-29,1997-01-29,1,1997-01-29,269.845318376477
ERCOT,1997-12-12,1997-12-13,2,1997-12-12,270.819538500002
ERCOT,1997-12-27,1997-12-29,3,1997-12-28,270.584771294977
ERCOT,1998-03-10,1998-03-11,2,1998-03-10,271.000917711085
ERCOT,1998-12-22,1998-12-26,5,1998-12-24,268.597448076075
ERCOT,1999-01-03,1999-01-05,3,1999-01-04,269.444444152922
ERCOT,2000-01-28,2000-01-30,3,2000-01-29,269.57843601284
ERCOT,2000-12-12,2000-12-14,3,2000-12-13,269.186098426888
ERCOT,2000-12-18,2000-12-18,1,2000-12-18,271.313072202659
ERCOT,2000-12-26,2001-01-04,10,2000-12-30,268.42171472069
ERCOT,2001-11-29,2001-11-29,1,2001-11-29,270.16757220651
ERCOT,2001-12-31,2002-01-04,5,2002-01-02,269.312912434569
ERCOT,2002-02-27,2002-02-27,1,2002-02-27,270.009403345255
ERCOT,2002-03-03,2002-03-04,2,2002-03-03,268.671148380126
ERCOT,2003-01-23,2003-01-24,2,2003-01-23,269.909587721804
ERCOT,2003-02-25,2003-02-26,2,2003-02-25,270.135965397136
ERCOT,2004-01-06,2004-01-07,2,2004-01-06,269.520583721638
ERCOT,2004-12-23,2004-12-26,4,2004-12-24,266.29150720738
ERCOT,2005-01-07,2005-01-07,1,2005-01-07,271.391035696824
ERCOT,2005-01-15,2005-01-17,3,2005-01-16,270.835671190333
ERCOT,2005-12-06,2005-12-10,5,2005-12-08,267.029282990147
ERCOT,2006-02-12,2006-02-12,1,2006-02-12,271.36388228606
ERCOT,2006-02-18,2006-02-19,2,2006-02-18,269.862471521639
ERCOT,2006-12-01,2006-12-04,4,2006-12-02,269.632287719494
ERCOT,2007-01-15,2007-01-18,4,2007-01-16,267.456590381569
ERCOT,2007-02-15,2007-02-16,2,2007-02-15,268.616834325392
ERCOT,2008-01-02,2008-01-03,2,2008-01-02,271.132937880968
ERCOT,2008-01-18,2008-01-20,3,2008-01-19,270.639156090814
ERCOT,2008-12-11,2008-12-11,1,2008-12-11,271.531812324854
ERCOT,2008-12-16,2008-12-16,1,2008-12-16,271.143475477851
ERCOT,2008-12-22,2008-12-22,1,2008-12-22,270.39358122191
ERCOT,2009-01-14,2009-01-15,2,2009-01-14,271.084647453811
ERCOT,2009-01-28,2009-01-29,2,2009-01-28,270.160113102742
ERCOT,2009-12-04,2009-12-04,1,2009-12-04,271.529840251258
ERCOT,2009-12-25,2009-12-28,4,2009-12-26,269.908763384243
ERCOT,2010-01-02,2010-01-11,10,2010-01-06,264.771263039844
ERCOT,2010-01-30,2010-01-31,2,2010-01-30,269.334735405809
ERCOT,2010-02-16,2010-02-16,1,2010-02-16,271.177580755137
ERCOT,2011-01-11,2011-01-13,3,2011-01-12,268.773521292864
ERCOT,2011-01-21,2011-01-21,1,2011-01-21,271.615941171112
ERCOT,2011-02-01,2011-02-06,6,2011-02-03,259.735626600954
ERCOT,2011-02-08,2011-02-12,5,2011-02-10,264.724511023467
ERCOT,2011-12-06,2011-12-08,3,2011-12-07,270.352482214607
ERCOT,2012-12-11,2012-12-11,1,2012-12-11,270.941551486829
ERCOT,2012-12-26,2012-12-29,4,2012-12-27,269.464768566839
ERCOT,2013-01-14,2013-01-16,3,2013-01-15,270.519353651795
ERCOT,2013-11-26,2013-11-27,2,2013-11-26,271.265925011162
ERCOT,2013-12-06,2013-12-12,7,2013-12-09,266.459117518965
ERCOT,2014-01-05,2014-01-07,3,2014-01-06,267.294543987833
ERCOT,2014-01-23,2014-01-25,3,2014-01-24,268.583869135064
ERCOT,2014-01-27,2014-01-29,3,2014-01-28,267.859046628156
ERCOT,2014-02-04,2014-02-08,5,2014-02-06,266.300974632305
ERCOT,2014-02-11,2014-02-12,2,2014-02-11,270.299139590881
ERCOT,2014-03-03,2014-03-04,2,2014-03-03,267.963067423347
ERCOT,2014-11-13,2014-11-14,2,2014-11-13,271.014364963497
ERCOT,2014-11-18,2014-11-18,1,2014-11-18,271.180572675725
ERCOT,2014-12-30,2015-01-01,3,2014-12-31,270.740783148587
ERCOT,2015-01-04,2015-01-10,7,2015-01-07,268.311388782855
ERCOT,2015-02-23,2015-02-28,6,2015-02-25,269.256855139178
ERCOT,2015-03-05,2015-03-06,2,2015-03-05,270.138792982391
ERCOT,2015-12-28,2015-12-30,3,2015-12-29,269.846820117439
ERCOT,2016-01-02,2016-01-04,3,2016-01-03,270.900763982502
ERCOT,2016-01-11,2016-01-11,1,2016-01-11,271.571964392023
ERCOT,2016-12-18,2016-12-20,3,2016-12-19,267.64398548625
