NERC_ID,start_date,end_date,duration,centroid_date,highest_temperature
Florida,2004-06-12,2004-06-12,1,2004-06-12,307.360916707149
Florida,2004-06-19,2004-06-19,1,2004-06-19,307.369270880473
Florida,2004-06-24,2004-06-27,4,2004-06-25,307.950094944405
Florida,2004-07-04,2004-07-11,8,2004-07-07,309.004535428856
Florida,2004-07-23,2004-07-23,1,2004-07-23,307.468404077551
Florida,2005-07-27,2005-07-27,1,2005-07-27,307.181730691005
Florida,2005-08-17,2005-08-21,5,2005-08-19,307.830858870621
Florida,2006-08-02,2006-08-03,2,2006-08-02,307.39968328263
Florida,2006-08-09,2006-08-11,3,2006-08-10,307.491541366589
Florida,2007-07-10,2007-07-10,1,2007-07-10,307.434060800725
Florida,2007-07-19,2007-07-19,1,2007-07-19,307.320091663737
Florida,2007-08-19,2007-08-22,4,2007-08-20,308.10498122877
Florida,2008-08-06,2008-08-06,1,2008-08-06,307.294213383608
Florida,2009-06-21,2009-06-22,2,2009-06-21,307.728943850599
Florida,2010-06-11,2010-06-17,7,2010-06-14,307.789793325087
Florida,2010-06-22,2010-06-27,6,2010-06-24,308.476390296282
Florida,2010-07-08,2010-07-09,2,2010-07-08,307.788464530815
Florida,2010-07-18,2010-08-01,15,2010-07-25,308.935806660075
Florida,2010-08-12,2010-08-13,2,2010-08-12,307.346412083429
Florida,2010-08-16,2010-08-19,4,2010-08-17,308.028361578173
Florida,2011-05-22,2011-05-23,2,2011-05-22,307.310460804584
Florida,2011-06-04,2011-06-06,3,2011-06-05,307.588021102383
Florida,2011-06-12,2011-06-23,12,2011-06-17,309.021533098217
Florida,2011-07-24,2011-07-24,1,2011-07-24,307.356203745606
Florida,2011-07-29,2011-08-05,8,2011-08-01,308.447119189539
Florida,2011-08-11,2011-08-13,3,2011-08-12,307.876695071589
Florida,2011-08-16,2011-08-16,1,2011-08-16,307.26123306382
Florida,2011-08-26,2011-08-29,4,2011-08-27,308.704699573093
Florida,2014-08-22,2014-08-23,2,2014-08-22,307.94564899662
Florida,2015-06-15,2015-06-23,9,2015-06-19,308.241140381095
Florida,2015-07-10,2015-07-13,4,2015-07-11,308.068991021108
Florida,2015-07-22,2015-07-22,1,2015-07-22,307.450852507336
Florida,2016-06-24,2016-06-25,2,2016-06-24,307.455470228937
Florida,2016-07-04,2016-07-09,6,2016-07-06,308.45803467144
Florida,2016-07-11,2016-07-14,4,2016-07-12,307.304792623699
Florida,2016-07-26,2016-08-01,7,2016-07-29,308.604923190086
Florida,2016-08-21,2016-08-23,3,2016-08-22,307.857332358061
Florida,2019-05-26,2019-05-30,5,2019-05-28,308.397754084006
Florida,2019-06-03,2019-06-03,1,2019-06-03,307.226168590019
Florida,2019-06-22,2019-06-26,5,2019-06-24,308.239283403349
Florida,2019-07-02,2019-07-04,3,2019-07-03,308.681932274058
Florida,2019-07-15,2019-07-15,1,2019-07-15,307.234315647176
Florida,2019-09-08,2019-09-08,1,2019-09-08,307.375317932869
Florida,2020-06-26,2020-06-29,4,2020-06-27,307.76239773284
Florida,2020-08-01,2020-08-03,3,2020-08-02,307.426302061495
Florida,2020-08-09,2020-08-09,1,2020-08-09,307.583115678905
Florida,2020-09-03,2020-09-04,2,2020-09-03,307.828262829752
Florida,2022-06-16,2022-06-17,2,2022-06-16,307.635932078675
Florida,2022-06-23,2022-06-24,2,2022-06-23,308.211647427503
Florida,2022-07-29,2022-08-02,5,2022-07-31,307.649743893924
Florida,2023-07-20,2023-07-21,2,2023-07-20,307.712402275698
Florida,2023-08-07,2023-08-14,8,2023-08-10,308.162726057741
Florida,2023-08-22,2023-08-23,2,2023-08-22,307.557035955795
Florida,2023-08-25,2023-08-26,2,2023-08-25,307.541700231176
Florida,2024-06-08,2024-06-09,2,2024-06-08,307.954874680938
Florida,2024-07-05,2024-07-07,3,2024-07-06,307.650297248857
Florida,2024-07-09,2024-07-09,1,2024-07-09,307.21642187669
Florida,2024-07-11,2024-07-11,1,2024-07-11,307.269245462221
Florida,2024-08-08,2024-08-09,2,2024-08-08,307.602034622799
Great Basin,1980-07-22,1980-07-23,2,1980-07-22,302.310235703269
Great Basin,1981-07-05,1981-07-06,2,1981-07-05,302.087780511059
Great Basin,1985-07-04,1985-07-10,7,1985-07-07,303.491312396376
Great Basin,1986-08-18,1986-08-18,1,1986-08-18,302.08434742086
Great Basin,1988-06-22,1988-06-25,4,1988-06-23,302.610191720296
Great Basin,1988-07-21,1988-07-25,5,1988-07-23,302.852232976668
Great Basin,1989-07-03,1989-07-08,6,1989-07-05,303.639550644334
Great Basin,1989-07-19,1989-07-21,3,1989-07-20,303.041853694495
Great Basin,1990-06-23,1990-07-01,9,1990-06-27,303.572214618945
